USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.1  0.0  23044 14356 ?        Ss   01:10   0:00 /sbin/init splash
staging     1543  0.0  0.0 514628 14700 ?        Sl   01:11   0:00 /usr/bin/swaybg -i /home/staging/.config/omarchy/current/background -m fill
staging     1544  0.0  0.1 1991088 43028 ?       Sl   01:11   0:00 /usr/bin/swayosd-server
staging     1545  0.0  0.0      0     0 ?        Z    01:11   0:00 [uwsm-app] <defunct>
staging     1547  0.0  0.0 529020 26268 ?        Sl   01:11   0:00 /usr/lib/polkit-gnome/polkit-gnome-authentication-agent-1
staging     1549  0.0  0.0      0     0 ?        Z    01:11   0:00 [uwsm-app] <defunct>
staging     1552  0.0  0.0      0     0 ?        Z    01:11   0:00 [uwsm-app] <defunct>
staging     1556  0.0  0.0      0     0 ?        Z    01:11   0:00 [uwsm-app] <defunct>
staging     1560  0.0  0.0      0     0 ?        Z    01:11   0:00 [uwsm-app] <defunct>
staging     1563  0.0  0.0      0     0 ?        Z    01:11   0:00 [uwsm-app] <defunct>
staging     1578  0.0  0.1 407716 46108 ?        S    01:11   0:00 Xwayland :1 -rootless -core -listenfd 78 -listenfd 79 -displayfd 124 -wm 121
staging     1579  0.0  0.0 380620  7376 ?        Ssl  01:11   0:00 /usr/lib/at-spi-bus-launcher
staging     1585  0.0  0.0   8156  3820 ?        S    01:11   0:00 /usr/bin/dbus-broker-launch --config-file=/usr/share/defaults/at-spi2/accessibility.conf --scope user
staging     1586  0.0  0.0   4324  2668 ?        S    01:11   0:00 dbus-broker --log 10 --controller 9 --machine-id bceff12ff47d4cc8892140e523e4668b --max-bytes 100000000000000 --max-fds 6400000 --max-matches 5000000000
root        1587  0.0  0.0      0     0 ?        S    01:11   0:00 [nvidia-drm/timeline-9]
staging     1588  0.0  0.0 325480 10528 ?        Ssl  01:11   0:00 /usr/lib/gvfsd
staging     1594  0.0  0.0 323032  6784 ?        Sl   01:11   0:00 /usr/lib/gvfsd-fuse /run/user/1000/gvfs -f
polkitd     1603  0.0  0.0 381480  9428 ?        Ssl  01:11   0:00 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
staging     1615  0.0  0.0 168324  7288 ?        Ssl  01:11   0:00 /usr/lib/at-spi2-registryd --use-gnome-session
staging     1625  0.0  0.0   7704  3604 ?        Ss   01:11   0:00 bash /usr/bin/limine-snapper-notify
root        1626  0.0  0.0      0     0 ?        I    01:11   0:00 [kworker/0:3-events]
staging     1630  0.0  0.1 585468 45336 ?        Ssl  01:11   0:00 /usr/bin/walker --gapplication-service
staging     1635  0.0  0.5 3049636 194340 ?      Ssl  01:11   0:00 elephant
staging     1636  0.0  0.0  34416 25396 ?        Ss   01:11   0:00 /usr/bin/python3 /usr/bin/uwsm aux app-daemon
staging     1639  0.0  0.0  34428  8096 ?        S    01:11   0:00 journalctl --output=short-iso -b -p 3 -n0 -f
staging     1650  0.0  0.1  69520 39508 ?        Ss   01:11   0:00 /usr/bin/python3 /usr/share/system-config-printer/applet.py
staging     1665  0.0  0.0 622316 18080 ?        Ssl  01:11   0:00 /usr/lib/xdg-desktop-portal
staging     1670  0.0  0.0 305804  5888 ?        Ssl  01:11   0:00 /usr/lib/xdg-permission-store
staging     1675  0.0  0.0 539276  6972 ?        Ssl  01:11   0:00 /usr/lib/xdg-document-portal
root        1681  0.0  0.0   2580  2028 ?        Ss   01:11   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
staging     1684  0.0  0.0 529104 26024 ?        Ssl  01:11   0:00 /usr/lib/xdg-desktop-portal-gtk
rtkit       1697  0.0  0.0  21884  3536 ?        SNsl 01:11   0:00 /usr/lib/rtkit-daemon
staging     1702  0.0  0.0   2692  1792 ?        S    01:11   0:00 wl-paste --watch echo clipboard-changed
staging     1711  0.0  0.0 102540 12876 ?        S<sl 01:11   0:00 /usr/bin/pipewire
staging     1712  0.0  0.0 481380 19996 ?        S<sl 01:11   0:00 /usr/bin/wireplumber
staging     1721  0.0  0.0 168960  9792 ?        Ssl  01:11   0:00 /usr/lib/xdg-desktop-portal-hyprland
root        1750  0.0  0.0 308892  7004 ?        Ssl  01:11   0:00 /usr/lib/power-profiles-daemon
root        1781  0.0  0.0      0     0 ?        S<   01:11   0:00 [krfcommd]
root        1844  0.0  0.0 318440 11604 ?        Ssl  01:11   0:00 /usr/lib/upowerd
staging     1880  0.0  0.0  98352  8620 ?        S<sl 01:11   0:00 /usr/bin/pipewire-pulse
staging     1893  1.5  0.4 2350016 148448 ?      Sl   01:11   0:08 /usr/bin/ghostty --gtk-single-instance=true --working-directory=/home/staging
staging     1916  0.0  0.0      0     0 ?        Z    01:11   0:00 [xdg-terminal-ex] <defunct>
root        1932  0.0  0.0      0     0 ?        S    01:11   0:00 [nvidia-drm/timeline-a]
staging     1950  0.0  0.0  10084  8660 pts/0    Ss   01:11   0:00 /usr/bin/bash --posix
root        2467  0.0  0.0  15568  6468 ?        S    01:15   0:00 systemd-userwork: waiting...
root        2526  0.0  0.0      0     0 ?        I    01:16   0:00 [kworker/u64:1-kcryptd-253:0-1]
root        2527  0.0  0.0      0     0 ?        I    01:16   0:00 [kworker/u64:4]
root        2944  0.0  0.0  15568  6436 ?        S    01:17   0:00 systemd-userwork: waiting...
root        3781  0.0  0.0  15428  5704 ?        S    01:20   0:00 systemd-userwork: waiting...
staging     3840  0.0  0.0   9856  6376 pts/0    R+   01:20   0:00 ps aux
